category_order,category_id,category_en,category_hi,category_gu,item_order,item_en,item_hi,item_gu,price
1,chicken,Chicken Item,,,1,Chicken Masala,,,80 Rs / plate
1,chicken,Chicken Item,,,2,Chicken Kadai,,,80 Rs / plate
1,chicken,Chicken Item,,,3,Chicken Tikka(Fry),,,80 Rs / plate
1,chicken,Chicken Item,,,4,Chicken Tikka(Gravy),,,90 Rs / plate
1,chicken,Chicken Item,,,5,Dry Chicken,,,100 Rs / plate
1,chicken,Chicken Item,,,6,Hyderabadi Chicken,,,100 Rs / plate
1,chicken,Chicken Item,,,7,Chicken Biryani,,,90 Rs / plate
2,mutton,Mutton Item,,,1,Mutton Masala,,,130 Rs / plate
2,mutton,Mutton Item,,,2,Mutton Kadai,,,130 Rs / plate
2,mutton,Mutton Item,,,3,Kheema Masala,,,100 Rs / plate
2,mutton,Mutton Item,,,4,Kebab (Gravy),,,130 Rs / plate
2,mutton,Mutton Item,,,5,Kebab (Fry),,,100 Rs / plate
3,fish,Fish Item,,,1,Paplet Fry,,,100 Rs / plate
3,fish,Fish Item,,,2,Jinga(Gravy),,,100 Rs / plate
3,fish,Fish Item,,,3,Seasonal Fish Fry,,,100 Rs / plate
4,rice,Rice,,,1,Biryani Rice,,,30 Rs / plate
4,rice,Rice,,,2,Plain Rice,,,30 Rs / plate
5,roti,Roti,,,1,Plain Roti,,,5 Rs / pc
5,roti,Roti,,,2,Chokha na Rotla,,,7 Rs / pc
5,roti,Roti,,,3,Chokha na Pudaa,,,6 Rs / pc
6,beverages,Cold Beverages,,,1,Mineral Water,,,10/20 Rs
6,beverages,Cold Beverages,,,2,Jeera,,,10 Rs
6,beverages,Cold Beverages,,,3,Soft Drinks,,,20/40 Rs
