category_order,category_id,category_en,category_hi,category_gu,item_order,item_en,item_hi,item_gu,price
1,chicken,Chicken Item,चिकन आइटम,ચિકન આઇટમ,1,Chicken Masala,चिकन मसाला,ચિકન મસાલા,80 Rs / plate
1,chicken,Chicken Item,चिकन आइटम,ચિકન આઇટમ,2,Chicken Kadai,चिकन कड़ाई,ચિકન કડાઈ,80 Rs / plate
1,chicken,Chicken Item,चिकन आइटम,ચિકન આઇટમ,3,Chicken Tikka(Fry),चिकन टिक्का (फ्राई),ચિકન ટિક્કા (ફ્રાય),80 Rs / plate
1,chicken,Chicken Item,चिकन आइटम,ચિકન આઇટમ,4,Chicken Tikka(Gravy),चिकन टिक्का (ग्रेवी),ચિકન ટિક્કા (ગ્રેવી),90 Rs / plate
1,chicken,Chicken Item,चिकन आइटम,ચિકન આઇટમ,5,Dry Chicken,सूखी चिकन,સૂકી ચિકન,100 Rs / plate
1,chicken,Chicken Item,चिकन आइटम,ચિકન આઇટમ,6,Hyderabadi Chicken,हैदराबादी चिकन,હૈદરાબાદી ચિકન,100 Rs / plate
1,chicken,Chicken Item,चिकन आइटम,ચિકન આઇટમ,7,Chicken Biryani,चिकन बिरयानी,ચિકન બિરયાની,90 Rs / plate
2,mutton,Mutton Item,मटन आइटम,મટન આઇટમ,1,Mutton Masala,मटन मसाला,મટન મસાલા,130 Rs / plate
2,mutton,Mutton Item,मटन आइटम,મટન આઇટમ,2,Mutton Kadai,मटन कड़ाई,મટન કડાઈ,130 Rs / plate
2,mutton,Mutton Item,मटन आइटम,મટન આઇટમ,3,Kheema Masala,कीमा मसाला,ખીમા મસાલા,100 Rs / plate
2,mutton,Mutton Item,मटन आइटम,મટન આઇટમ,4,Kebab (Gravy),कबाब (ग्रेवी),કબાબ (ગ્રેવી),130 Rs / plate
2,mutton,Mutton Item,मटन आइटम,મટન આઇટમ,5,Kebab (Fry),कबाब (फ्राई),કબાબ (ફ્રાય),100 Rs / plate
3,fish,Fish Item,फिश आइटम,ફિશ આઈટમ,1,Paplet Fry,पापलेट फ्राई,પેપલેટ ફ્રાય,100 Rs / plate
3,fish,Fish Item,फिश आइटम,ફિશ આઈટમ,2,Jinga(Gravy),झींगा (ग्रेवी),જીંગા (ગ્રેવી),100 Rs / plate
3,fish,Fish Item,फिश आइटम,ફિશ આઈટમ,3,Fish Fry,मछली फ्राई,મચ્છી ફ્રાય,100 Rs / plate
4,rice,Rice,चावल,રાઇસ,1,Biryani Rice,बिरयानी चावल,બિરયાની રાઇસ,30 Rs / plate
4,rice,Rice,चावल,રાઇસ,2,Plane Rice,सादा चावल,સાદા રાઇસ,30 Rs / plate
5,roti,Roti,रोटी,રોટી,1,Plain Roti,सादी रोटी,ઘઉં ની રોટલી,5 Rs / pc
5,roti,Roti,रोटी,રોટી,2,Chokha na Rotla,चावल के रोटला,ચોખા ના રોટલા,7 Rs / pc
5,roti,Roti,रोटी,રોટી,3,Chokha na Pudaa,चावल के पुड़ा,ચોખા ના પુડા,6 Rs / pc
6,beverages,Cold Beverages,कोल्ड बेवरेजेज,કોલ્ડ બેવરેજિસ,1,Mineral Water,मिनरल वाटर,મિનરલ વોટર,10/20 Rs
6,beverages,Cold Beverages,कोल्ड बेवरेजेज,કોલ્ડ બેવરેજિસ,2,Jeera,जीरा,જીરા,10 Rs
6,beverages,Cold Beverages,कोल्ड बेवरेजेज,કોલ્ડ બેવરેજિસ,3,Soft Drinks,सॉफ्ट ड्रिंक्स,સોફ્ટ ડ્રિંક્સ,20/40 Rs
